id,date,daste,zirdaste,mablagh,name
25,1399-02-04,Ghabz,Water,267,"['id1', 'id2', 'id3', 'id8', 'id7', 'id10', 'id6', 'id9', 'id5', 'id4']"
26,1399-03-02,Ghabz,Water,300,"['id1', 'id3']"
27,1397-01-08,Ghabz,bargh,92,"['id10', 'id9', 'id4', 'id1', 'id2']"
28,1397-02-28,Ghabz,bargh,80,"['id6', 'id3', 'id1', 'id8', 'id10', 'id9']"
29,1397-04-08,Ghabz,bargh,124,"['id7', 'id1', 'id6', 'id9']"
30,1397-05-24,Ghabz,bargh,111,"['id4', 'id1', 'id10']"
31,1397-07-08,Ghabz,bargh,108,"['id4', 'id3', 'id5', 'id10', 'id7', 'id8', 'id2', 'id9']"
32,1397-08-23,Ghabz,bargh,116,"['id9', 'id4', 'id7', 'id6', 'id8', 'id2', 'id3', 'id1', 'id5']"
33,1397-10-02,Ghabz,bargh,115,"['id4', 'id3', 'id8', 'id5', 'id2', 'id6', 'id10', 'id7']"
34,1397-11-18,Ghabz,bargh,119,"['id3', 'id9', 'id2', 'id5', 'id8', 'id10']"
35,1398-01-06,Ghabz,bargh,131,"['id8', 'id6', 'id4', 'id5', 'id7', 'id2', 'id9', 'id10', 'id3']"
36,1398-02-23,Ghabz,bargh,110,"['id1', 'id5', 'id4', 'id2', 'id8', 'id3', 'id9', 'id7']"
37,1398-04-02,Ghabz,bargh,126,"['id7', 'id1', 'id4', 'id9', 'id2', 'id8', 'id3']"
38,1398-05-20,Ghabz,bargh,132,"['id9', 'id7', 'id3', 'id10', 'id5', 'id2', 'id6', 'id4']"
39,1398-06-30,Ghabz,bargh,123,"['id2', 'id10', 'id4', 'id7']"
40,1398-08-18,Ghabz,bargh,120,"['id6', 'id2', 'id3', 'id10', 'id9']"
41,1398-10-02,Ghabz,bargh,123,"['id5', 'id9', 'id1']"
42,1398-11-18,Ghabz,bargh,157,"['id9', 'id10', 'id8', 'id2', 'id4']"
43,1399-01-01,Ghabz,bargh,143,"['id8', 'id2', 'id6', 'id5', 'id1', 'id10', 'id4', 'id9', 'id3']"
44,1399-02-12,Ghabz,bargh,162,"['id1', 'id6', 'id3', 'id7', 'id5', 'id9', 'id2', 'id10']"
45,1397-01-08,Ghabz,gaz,309,"['id10', 'id4']"
46,1397-02-23,Ghabz,gaz,518,"['id9', 'id10', 'id1', 'id3', 'id5', 'id6', 'id2', 'id7', 'id8']"
47,1397-03-29,Ghabz,gaz,562,"['id2', 'id10', 'id1', 'id7']"
48,1397-05-07,Ghabz,gaz,302,"['id6', 'id8', 'id4', 'id2', 'id7', 'id9', 'id5', 'id3']"
49,1397-06-17,Ghabz,gaz,435,"['id7', 'id4', 'id1', 'id2', 'id9']"
50,1397-07-22,Ghabz,gaz,480,"['id8', 'id4', 'id9', 'id3', 'id1', 'id6', 'id5']"
51,1397-09-07,Ghabz,gaz,441,"['id1', 'id5', 'id8', 'id9']"
52,1397-10-18,Ghabz,gaz,275,"['id1', 'id8']"
53,1397-11-27,Ghabz,gaz,542,"['id5', 'id2', 'id7', 'id9', 'id4']"
54,1398-01-07,Ghabz,gaz,331,"['id7', 'id9', 'id10', 'id1', 'id8', 'id3', 'id5', 'id6']"
55,1398-02-14,Ghabz,gaz,487,"['id4', 'id2', 'id1', 'id5']"
56,1398-03-22,Ghabz,gaz,605,"['id3', 'id1', 'id10', 'id4']"
57,1398-05-04,Ghabz,gaz,559,"['id2', 'id6', 'id8', 'id9', 'id7', 'id1', 'id3', 'id5', 'id10', 'id4']"
58,1398-06-08,Ghabz,gaz,717,"['id1', 'id7', 'id9', 'id5', 'id6', 'id2', 'id3', 'id8', 'id10']"
59,1398-07-16,Ghabz,gaz,505,"['id8', 'id10']"
60,1398-09-03,Ghabz,gaz,521,"['id2', 'id4', 'id8', 'id9']"
61,1398-10-08,Ghabz,gaz,811,"['id7', 'id8', 'id10', 'id1', 'id5', 'id3', 'id9', 'id2', 'id4']"
62,1398-11-19,Ghabz,gaz,499,"['id4', 'id3', 'id5', 'id1', 'id8']"
63,1399-01-04,Ghabz,gaz,562,"['id8', 'id5', 'id6']"
64,1399-02-13,Ghabz,gaz,613,"['id9', 'id8', 'id3']"
65,1399-03-15,Ghabz,gaz,488,['id5']
66,1399-04-24,Ghabz,gaz,524,"['id10', 'id1', 'id3', 'id7', 'id6', 'id4', 'id8', 'id2']"
67,1397-03-03,Ghabz,avarez,2579,"['id1', 'id2', 'id8', 'id9', 'id6', 'id10', 'id4', 'id3', 'id5', 'id7']"
68,1397-09-17,Ghabz,avarez,2608,"['id9', 'id1', 'id10', 'id7', 'id8', 'id4', 'id6', 'id5']"
69,1398-01-05,Ghabz,avarez,1545,"['id9', 'id7', 'id4', 'id2']"
70,1398-07-12,Ghabz,avarez,2628,"['id8', 'id10', 'id6', 'id5']"
71,1397-02-15,nezafat,###,241,"['id1', 'id2', 'id10', 'id6', 'id4', 'id3', 'id5']"
72,1397-03-07,nezafat,###,244,"['id7', 'id1', 'id10', 'id5', 'id8', 'id2', 'id4', 'id6', 'id9']"
73,1397-03-17,nezafat,###,239,"['id1', 'id8', 'id5', 'id2', 'id10', 'id4', 'id3']"
74,1397-03-30,nezafat,###,233,"['id10', 'id8', 'id4', 'id3', 'id1', 'id7', 'id6', 'id9']"
75,1397-04-15,nezafat,###,254,"['id10', 'id2', 'id3', 'id7', 'id8']"
76,1397-05-01,nezafat,###,252,"['id7', 'id3', 'id8']"
77,1397-05-19,nezafat,###,229,"['id4', 'id8', 'id7', 'id5', 'id6', 'id1', 'id9']"
78,1397-06-06,nezafat,###,257,"['id2', 'id3', 'id4', 'id6', 'id1', 'id8', 'id9', 'id7', 'id5', 'id10']"
79,1397-06-20,nezafat,###,254,"['id4', 'id3', 'id1', 'id7', 'id2', 'id8']"
80,1397-06-26,nezafat,###,230,"['id2', 'id9', 'id3', 'id8', 'id1']"
81,1397-07-17,nezafat,###,248,"['id3', 'id5', 'id7', 'id1', 'id10']"
82,1397-07-27,nezafat,###,245,"['id4', 'id10', 'id9', 'id8', 'id2']"
83,1397-08-19,nezafat,###,244,['id4']
84,1397-08-27,nezafat,###,263,"['id8', 'id1', 'id3', 'id10', 'id4', 'id9', 'id7', 'id2']"
85,1397-09-14,nezafat,###,269,"['id2', 'id8', 'id3', 'id1', 'id9', 'id5', 'id6', 'id7', 'id4', 'id10']"
86,1397-10-04,nezafat,###,252,"['id6', 'id1', 'id2', 'id3', 'id9']"
87,1397-10-18,nezafat,###,255,"['id1', 'id6', 'id2', 'id8']"
88,1397-10-26,nezafat,###,293,"['id6', 'id4', 'id2', 'id3', 'id8']"
89,1397-11-17,nezafat,###,276,"['id7', 'id6', 'id9', 'id2', 'id8', 'id5', 'id4']"
90,1397-12-03,nezafat,###,276,"['id5', 'id7', 'id1', 'id6', 'id10', 'id8', 'id9', 'id3', 'id4', 'id2']"
91,1397-12-14,nezafat,###,289,"['id6', 'id5', 'id8', 'id2', 'id1', 'id4', 'id7', 'id9']"
92,1397-12-26,nezafat,###,275,"['id9', 'id3', 'id6', 'id2', 'id5', 'id8', 'id10', 'id7']"
93,1398-01-21,nezafat,###,281,"['id1', 'id9', 'id2', 'id10', 'id3', 'id6', 'id5', 'id7']"
94,1398-01-29,nezafat,###,293,"['id10', 'id3', 'id1', 'id6', 'id2', 'id5', 'id7', 'id4', 'id9', 'id8']"
95,1398-02-17,nezafat,###,310,"['id9', 'id2', 'id1', 'id6', 'id4', 'id8', 'id7', 'id5']"
96,1398-03-01,nezafat,###,284,"['id10', 'id6', 'id9', 'id8', 'id1', 'id7']"
97,1398-03-18,nezafat,###,301,"['id1', 'id8', 'id10']"
98,1398-04-02,nezafat,###,287,"['id6', 'id7', 'id1', 'id10', 'id5', 'id9', 'id3', 'id4', 'id8']"
99,1398-04-08,nezafat,###,298,"['id2', 'id1', 'id4', 'id5', 'id3', 'id6', 'id9', 'id8']"
100,1398-04-26,nezafat,###,301,"['id3', 'id9', 'id8', 'id4', 'id5', 'id10']"
101,1398-05-17,nezafat,###,300,"['id4', 'id9', 'id8', 'id5', 'id6']"
102,1398-05-27,nezafat,###,292,"['id1', 'id3', 'id7']"
103,1398-06-08,nezafat,###,294,"['id7', 'id4', 'id6', 'id5', 'id8', 'id10']"
104,1398-06-23,nezafat,###,295,"['id8', 'id6', 'id7', 'id2', 'id10', 'id4', 'id5']"
105,1398-07-09,nezafat,###,319,"['id2', 'id5', 'id7', 'id6']"
106,1398-07-20,nezafat,###,316,"['id5', 'id8', 'id3', 'id10', 'id6', 'id7']"
107,1398-08-11,nezafat,###,302,"['id9', 'id1', 'id5', 'id2', 'id7', 'id8']"
108,1398-08-27,nezafat,###,301,"['id3', 'id2', 'id8', 'id9', 'id5', 'id7']"
109,1398-09-15,nezafat,###,321,"['id5', 'id8', 'id2', 'id3', 'id7', 'id10', 'id9', 'id6', 'id4', 'id1']"
110,1398-09-27,nezafat,###,318,"['id4', 'id8']"
111,1398-10-12,nezafat,###,316,"['id2', 'id7', 'id1', 'id6', 'id5', 'id10', 'id4', 'id8']"
112,1398-10-30,nezafat,###,316,"['id4', 'id10', 'id5', 'id9', 'id3']"
113,1398-11-09,nezafat,###,346,"['id7', 'id4', 'id8', 'id3', 'id1', 'id5', 'id2', 'id6']"
114,1398-11-23,nezafat,###,308,"['id1', 'id5']"
115,1398-12-14,nezafat,###,314,"['id5', 'id4', 'id10', 'id7', 'id3', 'id6', 'id9', 'id8', 'id1']"
116,1398-12-27,nezafat,###,377,"['id10', 'id3', 'id8', 'id4', 'id5']"
117,1399-01-12,nezafat,###,342,"['id7', 'id5', 'id8', 'id2', 'id6', 'id1']"
118,1399-01-25,nezafat,###,341,"['id7', 'id1', 'id3', 'id5', 'id4', 'id9', 'id6', 'id10']"
119,1397-03-12,asansor,###,2283,"['id7', 'id1', 'id2', 'id3', 'id5', 'id4', 'id6', 'id10', 'id8', 'id9']"
120,1397-08-07,asansor,###,462,"['id9', 'id8', 'id3', 'id1', 'id10', 'id7', 'id5', 'id2', 'id4', 'id6']"
121,1398-02-24,asansor,###,909,"['id7', 'id9', 'id6', 'id10', 'id2', 'id1', 'id4', 'id5', 'id3', 'id8']"
122,1398-09-19,asansor,###,4084,"['id7', 'id9', 'id4', 'id3', 'id1', 'id8', 'id2', 'id10', 'id6', 'id5']"
123,1397-06-15,parking,###,147,"['id9', 'id4', 'id1', 'id10', 'id8', 'id2', 'id3', 'id7', 'id5', 'id6']"
124,1398-02-28,parking,###,408,"['id4', 'id9', 'id5', 'id1', 'id6', 'id2', 'id3', 'id8', 'id10', 'id7']"
125,1398-10-21,parking,###,14,"['id1', 'id9', 'id2', 'id5', 'id7', 'id8', 'id4', 'id10', 'id6', 'id3']"
126,1397-01-18,tamirat,###,155,"['id7', 'id3', 'id8', 'id6', 'id9', 'id2', 'id10', 'id5', 'id4', 'id1']"
127,1397-03-26,tamirat,###,158,"['id4', 'id3', 'id5', 'id2', 'id1', 'id7', 'id10', 'id9', 'id6', 'id8']"
128,1397-05-12,tamirat,###,157,"['id2', 'id1', 'id5', 'id10', 'id4', 'id7', 'id9', 'id6', 'id3', 'id8']"
129,1397-07-17,tamirat,###,247,"['id10', 'id5', 'id7', 'id8', 'id6', 'id4', 'id1', 'id3', 'id2', 'id9']"
130,1397-09-20,tamirat,###,195,"['id8', 'id1', 'id9', 'id2', 'id6', 'id4', 'id10', 'id3', 'id7', 'id5']"
131,1397-12-25,tamirat,###,228,"['id7', 'id4', 'id5', 'id6', 'id1', 'id8', 'id9', 'id2', 'id10', 'id3']"
132,1398-02-12,tamirat,###,253,"['id7', 'id8', 'id10', 'id1', 'id9', 'id4', 'id5', 'id3', 'id6', 'id2']"
133,1398-04-03,tamirat,###,338,"['id7', 'id10', 'id9', 'id8', 'id6', 'id2', 'id1', 'id4', 'id3', 'id5']"
134,1398-06-07,tamirat,###,222,"['id1', 'id2', 'id9', 'id5', 'id8', 'id3', 'id10', 'id6', 'id4', 'id7']"
135,1398-08-20,tamirat,###,159,"['id8', 'id9', 'id5', 'id3', 'id7', 'id1', 'id6', 'id4', 'id10', 'id2']"
136,1398-09-30,tamirat,###,393,"['id9', 'id1', 'id10', 'id8', 'id7', 'id5', 'id6', 'id3', 'id4', 'id2']"
137,1399-01-07,tamirat,###,354,"['id6', 'id8', 'id7', 'id2', 'id10', 'id3', 'id5', 'id4', 'id1', 'id9']"
138,1399-02-22,tamirat,###,302,"['id1', 'id6', 'id8', 'id2', 'id10', 'id3', 'id7', 'id5', 'id9', 'id4']"
139,1397-03-07,other,###,121,"['id9', 'id7', 'id5', 'id4', 'id2', 'id8', 'id1', 'id3', 'id6', 'id10']"
140,1397-04-28,other,###,133,"['id1', 'id10', 'id7', 'id2']"
141,1397-06-27,other,###,151,"['id2', 'id4', 'id5', 'id7']"
142,1397-10-03,other,###,145,"['id8', 'id2', 'id7', 'id5', 'id6', 'id3']"
143,1397-12-13,other,###,167,"['id8', 'id5', 'id10', 'id2', 'id6']"
144,1398-02-06,other,###,157,"['id4', 'id8', 'id10', 'id2']"
145,1398-06-05,other,###,167,"['id5', 'id1', 'id2', 'id4', 'id6', 'id9', 'id7']"
146,1398-08-19,other,###,169,"['id10', 'id6', 'id4', 'id1', 'id3', 'id8']"
147,1398-09-13,other,###,174,"['id9', 'id2', 'id1', 'id8', 'id5', 'id10', 'id4']"
148,1399-01-22,other,###,211,"['id10', 'id6', 'id2', 'id4', 'id8', 'id7', 'id1', 'id3']"
149,1399-02-28,other,###,234,"['id2', 'id3']"
